X,Y,OBJECTID,GCOMPID,NAME,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIP4,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,PIPECO,COMPID,OPERATOR,POSREL,NUM_UNITS,CERT_HP,PLANT_COST,EXP_FUEL,EXP_OTHER,GAS_COMPRE,OP_COMP_HR,OP_NUM_COM,OP_DATE_PE,EXP_POWER,ELEC_COMPR
-86.254774865999934,33.601518161000044,131,GCOMP1115,PELL CITY,HWY 78 TO PLEASANT VALLEY ROAD,NOT AVAILABLE,PELL CITY,AL,35125,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,ST CLAIR,01115,USA,33.601518161,-86.254774866,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015-09-10T00:00:00.000Z,IMAGERY/OTHER,2016-03-14T00:00:00.000Z,http://ixsnp.sonetpremier.com/,"SOUTHERN NATURAL GAS COMPANY, L.L.C.",7,"SOUTHERN NATURAL GAS COMPANY, L.L.C.",WITHIN 40 FEET,2,10390,16470281,8371,357424,3122,454,1,2012-07-24T00:00:00.000Z,120292,1358728
-91.420024577999982,29.730387355000065,132,GCOMP1116,BAYOU SALE,HWY 90 E SERVICE RD,NOT AVAILABLE,CENTERVILLE,LA,70522,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,SAINT MARY,22101,USA,29.730387355,-91.420024578,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015-09-17T00:00:00.000Z,IMAGERY/OTHER,2016-03-14T00:00:00.000Z,http://infopost.bwpmlp.com/,"GULF SOUTH PIPELINE COMPANY, LP",11,"GULF SOUTH PIPELINE COMPANY, LP",WITHIN 40 FEET,2,4000,2656013,0,19184,0,0,0,,0,0
-116.173813,48.966614,133,GCOMP1117,#3- EASTPORT,HWY 95 2 MI S OF EASTPORT,NOT AVAILABLE,BONNERS FERRY,ID,83805,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,BOUNDARY,16021,USA,48.966614,-116.173813,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015-09-18T00:00:00.000Z,IMAGERY/OTHER,2016-03-14T00:00:00.000Z,http://www.gastransmissionnw.com/,GAS TRANSMISSION NORTHWEST LLC,86,GAS TRANSMISSION NORTHWEST LLC,WITHIN 40 FEET,2,51500,48030161,375244,142878,137452,1072,1,2012-08-09T00:00:00.000Z,0,0
-106.075515,46.316949,134,GCOMP1118,HATHAWAY,I-94 W (W OF MOON CREEK RD/OFF FRONTAGE RD),NOT AVAILABLE,MILES CITY,MT,59301,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,CUSTER,30017,USA,46.316949,-106.075515,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"FERC FORM 2, MONTANA DEPARTMENT OF ENVIRONMENTAL QUALITY",2015-08-14T00:00:00.000Z,IMAGERY/OTHER,2016-03-14T00:00:00.000Z,http://transmission.wbienergy.com/,WILLISTON BASIN INTERSTATE PIPELINE COMPANY,49,WILLISTON BASIN INTERSTATE PIPELINE COMPANY,WITHIN 40 FEET,2,7358,5120155,477865,192904,185382,7500,2,2012-04-12T00:00:00.000Z,0,0
-110.335022,35.396403,135,GCOMP1119,DILKON,INDIAN ROUTE 60/INDIAN ROUTE 15,NOT AVAILABLE,DILKON,AZ,86047,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,NAVAJO,04017,USA,35.396403,-110.335022,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015-09-21T00:00:00.000Z,IMAGERY/OTHER,2016-03-14T00:00:00.000Z,https://pipeportal.kindermorgan.com/,"EL PASO NATURAL GAS COMPANY, L.L.C.",33,"EL PASO NATURAL GAS COMPANY, L.L.C.",WITHIN 40 FEET,2,27450,24962092,189013,153330,70864,672,1,2012-11-10T00:00:00.000Z,0,0
-99.609211235999965,35.25716206300006,136,GCOMP112,STATION 184 - SAYRE,12128 N. 1890 RD,NOT AVAILABLE,SAYRE,OK,73662,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,BECKHAM,40009,USA,35.257162063,-99.609211236,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015-09-16T00:00:00.000Z,IMAGERY/OTHER,2016-03-14T00:00:00.000Z,http://www.kindermorgan.com/,NATURAL GAS PIPELINE COMPANY OF AMERICA LLC,26,NATURAL GAS PIPELINE COMPANY OF AMERICA LLC,WITHIN 40 FEET,8,26185,37095927,0,0,81834,3821,3,2012-03-26T00:00:00.000Z,0,0
-109.727265,35.554986,137,GCOMP1120,NAVAJO,INDIAN RTE 9205 (7.6 MILES NE OF GREASEWOOD),NOT AVAILABLE,GREASEWOOD,AZ,86502,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,APACHE,04001,USA,35.554986,-109.727265,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"FERC FORM 2, CORPORATE WEBSITE, IMAGERY",2015-10-09T00:00:00.000Z,IMAGERY/OTHER,2016-03-14T00:00:00.000Z,https://pipeportal.kindermorgan.com/,"EL PASO NATURAL GAS COMPANY, L.L.C.",33,"EL PASO NATURAL GAS COMPANY, L.L.C.",WITHIN 40 FEET,4,41020,48594953,770705,112510,289673,3464,2,2012-04-09T00:00:00.000Z,0,0
-107.315775,34.993438,138,GCOMP1121,LAGUNA,INDIAN SERVICE ROUTE 522,(6 MILES EAST OF NEW LAGUNA),MESITA,NM,87038,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,CIBOLA,35006,USA,34.993438,-107.315775,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015-09-21T00:00:00.000Z,IMAGERY/OTHER,2016-03-14T00:00:00.000Z,https://pipeportal.kindermorgan.com/,"EL PASO NATURAL GAS COMPANY, L.L.C.",33,"EL PASO NATURAL GAS COMPANY, L.L.C.",WITHIN 40 FEET,3,10200,9624750,499115,907172,195093,7188,2,2012-08-02T00:00:00.000Z,0,0
-108.075757,39.469555,139,GCOMP1122,PARACHUTE,INTERSECTION OF HWY 215 AND GARDEN GULCH RD.,NOT AVAILABLE,PARACHUTE,CO,81635,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,NOT AVAILABLE,GARFIELD,08045,USA,39.469555,-108.075757,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, IMAGERY",2015-11-04T00:00:00.000Z,IMAGERY/OTHER,2016-03-14T00:00:00.000Z,NOT AVAILABLE,"COLORADO INTERSTATE GAS COMPANY, L.L.C.",32,"COLORADO INTERSTATE GAS COMPANY, L.L.C.",WITHIN 40 FEET,0,2936,-999,0,0,0,0,0,,0,0
-99.322987,37.614245,140,GCOMP1123,GREENSBURG,INTERSECTION OF US 183 AND US 54,NOT AVAILABLE,GREENSBURG,KS,67054,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,KIOWA,20097,USA,37.614245,-99.322987,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE, IMAGERY",2015-10-21T00:00:00.000Z,IMAGERY/OTHER,2016-03-14T00:00:00.000Z,http://anrebb.transcanada.com/,ANR PIPELINE COMPANY,48,ANR PIPELINE COMPANY,WITHIN 40 FEET,10,16940,15484923,2107045,1013227,769921,66037,9,2012-11-30T00:00:00.000Z,0,0
-80.874049,39.199493,141,GCOMP1124,NEW OXFORD,INTERSECTION OF WHITE OAK ROAD & HARRISVILLE-PULLMAN OXFORD,NOT AVAILABLE,OXFORD,WV,26421,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,RITCHIE,54085,USA,39.199493,-80.874049,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015-09-24T00:00:00.000Z,IMAGERY/OTHER,2016-03-14T00:00:00.000Z,http://escript.dom.com/,"DOMINION TRANSMISSION, INC.",22,"DOMINION TRANSMISSION, INC.",WITHIN 40 FEET,1,600,2129342,95452,61474,34230,8398,1,2012-11-18T00:00:00.000Z,0,0
-90.527172099999973,33.312587072000042,142,GCOMP1125,INVERNESS,INVERNESS RD/EAST OF RAWLAND,NOT AVAILABLE,BELZONI,MS,39038,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,HUMPHREYS,28053,USA,33.312587072,-90.5271721,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015-09-25T00:00:00.000Z,IMAGERY/OTHER,2016-03-14T00:00:00.000Z,http://www.columbiapipeinfo.com/,COLUMBIA GULF TRANSMISSION COMPANY,70,COLUMBIA GULF TRANSMISSION COMPANY,WITHIN 40 FEET,6,48050,39075452,1718824,1018602,634295,10760,6,2012-04-29T00:00:00.000Z,0,0
-81.879985,40.974737,143,GCOMP1126,CRESTON,JORDAN RD & EAST BAUM ST.,NOT AVAILABLE,CRESTON,OH,44217,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,WAYNE,39169,USA,40.974737,-81.879985,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015-11-04T00:00:00.000Z,IMAGERY/OTHER,2016-03-14T00:00:00.000Z,http://www.columbiapipeinfo.com/,"COLUMBIA GAS TRANSMISSION,LLC",21,"COLUMBIA GAS TRANSMISSION,LLC",WITHIN 40 FEET,1,360,525391,0,3290,0,0,0,,0,0
-80.658833,38.8627,144,GCOMP1127,BURNSVILLE,KANAWHA & SARTOAGO STS,NOT AVAILABLE,BURNSVILLE,WV,26335,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,BRAXTON,54007,USA,38.8627,-80.658833,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015-09-21T00:00:00.000Z,IMAGERY/OTHER,2016-03-14T00:00:00.000Z,http://equitrans.eqtmidstreampartners.com/,"EQUITRANS, L.P.",24,"EQUITRANS, L.P.",WITHIN 40 FEET,3,3300,8804265,406745,222692,145272,16434,2,2012-09-18T00:00:00.000Z,36111,-999
-109.662300594999977,32.108861311000055,145,GCOMP1128,WILCOX,KANSAS SETTLEMENT (3 MI SOUTH OF MP-63 ON I-10),(3 MI SOUTH OF MP-63 ON I-10),WILLCOX,AZ,85643,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,COCHISE,04003,USA,32.108861311,-109.662300595,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015-09-21T00:00:00.000Z,IMAGERY/OTHER,2016-03-14T00:00:00.000Z,https://pipeportal.kindermorgan.com/,"EL PASO NATURAL GAS COMPANY, L.L.C.",33,"EL PASO NATURAL GAS COMPANY, L.L.C.",WITHIN 40 FEET,2,28000,21089579,972,226940,300,0,0,,0,0
